iter	Passed	Remaining
0	1	183
1	4	244
2	6	225
3	8	197
4	9	187
5	11	182
6	13	176
7	14	171
8	16	169
9	19	176
10	21	172
11	23	169
12	24	166
13	26	162
14	28	160
15	29	157
16	31	154
17	34	158
18	36	156
19	38	154
20	40	152
21	42	151
22	44	148
23	46	145
24	48	145
25	51	145
26	53	143
27	55	141
28	57	139
29	58	137
30	60	134
31	62	132
32	64	131
33	67	130
34	69	128
35	70	126
36	72	123
37	74	120
38	75	118
39	79	119
40	81	116
41	81	113
42	83	111
43	85	108
44	87	106
45	89	104
46	93	105
47	95	103
48	97	101
49	99	99
50	101	97
51	103	95
52	105	93
53	109	93
54	110	90
55	113	88
56	115	86
57	117	84
58	119	82
59	124	83
60	126	81
61	128	79
62	131	77
63	133	74
64	139	75
65	141	73
66	144	70
67	146	68
68	148	66
69	150	64
70	154	63
71	157	61
72	159	58
73	161	56
74	163	54
75	164	51
76	166	49
77	169	47
78	171	45
79	172	43
80	174	40
81	175	38
82	177	36
83	179	34
84	180	31
85	183	29
86	185	27
87	187	25
88	188	23
89	190	21
90	192	19
91	193	16
92	195	14
93	197	12
94	200	10
95	201	8
96	203	6
97	205	4
98	206	2
99	208	0
